french,ewe,source,type,french_length,ewe_length
Les difficultés pour avoir le visa poussent certains à choisir la voie de l'eau. ,kuɣi siwo le visa xɔxɔ ŋu la wɔa be ame aɖewo va dzea tsaƒumɔ,https://ellecitoyenne.com/,"Blog, News",14,14
"Je viens de finir €œUn chant écarlate€_x009d_ de Mariama Bâ et j'ai eu tellement mal pour Mireille que je me suis demandé si c'est parce qu'on a le même prénom,",mewu «Un chant écarlate»_x009d_ Mariama Bâ tɔ eye mese veve geɖe na Mireille  ale gbegbe be mebia ɖokuinye be esi mieɖo ŋukɔ ɖeka tae,https://leschroniquesdetchonte.com/,Blog,30,24
"""C'est pourquoi je suis enclin à dire que nous sommes collectivement, d'une façon ou d'une autre, responsables de cette tragédie que nous pouvions devancer. """,esiatae mrgblɔ be dɔdasi kpɔ ŋukme na míawo katã le dzɔgbevɔ̃e fɔku la dzɔdzɔ ŋu,https://ellecitoyenne.com/,"Blog, News",25,15
"""Nous faisons face à des situations aujourd'hui qui ne sont pas à notre avantage ","Rdpc tso Mefou-et-Afamba Sud kple ""«"" Nkon Koa"" ƒe nyɔnuviwo le ɣe ɖum le hawo kple ʋugbewo dzi le boblo dom",https://ellecitoyenne.com/,"Blog, News",14,21
Et la chèvre se transforma en une superbe femme :,Eye gbɔ la trɔ zu nyɔnu ɖo atsɔ aɖe.,https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,10,9
Où était-il ?,afi ka wonɔ?,https://aphtalcisse.tg/,Blog,3,3
"Il m’avait boudée pendant un mois, m’évitant dans les couloirs de la Fac",edzudzɔm kpɔkpɔ ɣleti ɖeka sɔŋ eye melɔ̃ na be yeado gom le sukukpɔ ƒe mɔ aɖeke dzi o,https://leschroniquesdetchonte.com/,Blog,13,18
J’en ai marre de moi,meti ɖokuinye,https://leschroniquesdetchonte.com/,Blog,5,2
"Quelle créature de la forêt, pourrait m'aider à mettre cette charge sur ma tête ?",Nuwɔwɔ kae le gbea me atem akpe ɖe ŋu nye madro agba sia?,https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,15,13
J’ai eu l’occasion d’apprendre énormément sur l’éducation des touts-petits mais également sur la pédagogie active,esia na meto nu sɔgbɔ kple ɖeviwo kpakple amemeyiyi hehenana,https://leschroniquesdetchonte.com/,Blog,15,10
"Les personnes avec une mentalité fixe croient que soit on a un talent naturel pour quelque chose, soit on ne l’a pas",ame siwo si aɖaŋu xɔ ziɖi le la bua be ame dzɔna kple nunya tɔxɛ aɖe loo alo medzɔ na kpli o,https://leschroniquesdetchonte.com/,Blog,22,22
"Elle est là, assise, le regard perdu dans le néant",enɔ anyi le afima hebu ɖe eƒe susuwo me,https://leschroniquesdetchonte.com/,Blog,10,9
"Tout s'est assez bien passé et je suis arrivée à  Abidjan à  11h,",nusianu yi nyui eye meva ɖo Abidjan le ga wuiɖeke me,https://leschroniquesdetchonte.com/,Blog,13,11
"Dieu merci, ça a été pris par erreur par quelque qui Le craint,",akpe na Mawu be ameaɖe si vɔ̃ nae la yé tsɔe,https://leschroniquesdetchonte.com/,Blog,13,11
Il se présenta devant le roi et lui donna le conseil suivant :,"Eyi fia gbɔ ɖe aɖaŋu sia nae,",https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,13,7
"Je vous en parlerai quand je le visiterai in chaa,",ne dzro Mawu mava ƒonu kuɖe eŋu na mi ne meyi,https://leschroniquesdetchonte.com/,Blog,10,11
"Verra-t-on Le Cameroun suivre le chemin tracé par le Congo Brazzaville, le Gabon et bien d'autres encore"" ? ",xexlemegbalẽ sia kuɖe mɔzɔnyawo ko ŋu elabe woawoe le afɔku hem vae,https://ellecitoyenne.com/,"Blog, News",18,12
 Chaque femme a sa propre conception et ses propres limites. ,nyɔnu ɖesiaɖe ɖo eve nukpɔsusu kple eƒe liƒodede,https://ellecitoyenne.com/,"Blog, News",10,8
Mais les propos d’Armel pourraient lui faire penser qu’il avait envie de jouer avec elle et cela ne lui plaisait pas du tout,gake Armel ƒe nnya ɖee fia be ɖe wole fefege kplii eye nu sia medo dzidzɔ nae o,https://leschroniquesdetchonte.com/,Blog,23,18
"Il fait la rencontre brève mais salvatrice d'un chiffonnier qui gagne sa vie en revendant les vêtements des cadavres,",edo do ameaɖe si nɔ agbe to amekuku wu dzadzra me,https://leschroniquesdetchonte.com/,Blog,19,11
"En quelques minutes on atteint l'autre rive,","le minitiaɖewo megbe la,  mieɖo go kɛmɛ dzi",https://leschroniquesdetchonte.com/,Blog,7,8
Mathieu Kadio-Morokro et son épouse Mme Aissata Renée,srɔ̃a aƒenɔ Aissata Renée,https://leschroniquesdetchonte.com/,Blog,8,4
"On n'a pas encore recu de marchandise,",mí me xɔ agbã ha ɖeke o,TakwimuLab,Daily lfe,7,7
Dans notre équipe de  nous avions toutes les compétences pour créer un site internet et une solide présence numérique. ,Abe MLK ƒe kpɔɖeŋu si meɖea foto nyuiwo be woanɔ yewo ƒe kaƒomɔwo me ɖeɖeko o,https://ellecitoyenne.com/,"Blog, News",19,16
"Face aux obstacles, aux atrocités de ce monde, choisissons l'amour,","le xexe sia kuxiwo mela, mitsiã lɔlɔ̃",https://leschroniquesdetchonte.com/,Blog,10,7
il valait mieux ne pas être trop curieux,mega ɖi ɖikabɛ ɖe enu o,https://aphtalcisse.tg/,Blog,8,6
Ça aurait été une véritable humiliation si Claude avait dû être celui qui part,gbɔɖiɖi woanye be Claude nado le xɔa me,https://leschroniquesdetchonte.com/,Blog,14,8
Il avait été son premier pour tout,eyae nye gbãtɔ nae le nu sia nu me,https://leschroniquesdetchonte.com/,Blog,7,9
"Loin de la manière dont les jeunes Ivoiriens que je connais s'expriment,",didi booo le alesi medzesi ŋyiɖuƒuta sɔhɛwo ƒoanu,https://leschroniquesdetchonte.com/,Blog,12,8
"Pour elle, pour lui, pour tous, je resterai sa meilleure amie",na eya kple ŋutsua la manye xɔ̃a ko,https://leschroniquesdetchonte.com/,Blog,11,8
"Pendant toute mon enfance, ma mère m'a répété que les hommes sont inutiles,",le nye ɖevime la dadanye gblɔ nam be ŋutsuwo menye naneke o,https://leschroniquesdetchonte.com/,Blog,13,12
"Des élèves avec un faible niveau en maths ont utilisé le logiciel de la Khan Academy et en comblant leur lacunes, ont fini par avoir des résultats au-dessus de la moyenne,",sukuvi aɖewo siwo meɖo nunya geɖe kuɖe akɔntawo ŋu o la zã Khan Academy ƒe dɔwɔnu sia eye wokpɔe be ewɔ dɔ nyui ,https://leschroniquesdetchonte.com/,Blog,31,23
"Elle et Chinua Achebe ont su mettre en avant la culture Igbo dans leurs livres, au point où on pourrait pâlir de jalousie de ne pas être aussi informés sur la nôtre",eya kple Chinua achebe woɖe igbowo ƒe dekɔnuwo ɖe go ale be ŋu koe nakpe wo be menya tɔwowo o,https://leschroniquesdetchonte.com/,Blog,32,20
"Aujourd'hui, Bayard a opté pour quelques changements et propose €œPlanète Okapi€_x009d_ pour les enfants du CM à  la 5e et €œPlanète J'aime Lire€_x009d_ pour les enfants de 5 à  8 ans,","ke ebela, Bayard wɔ tɔtrɔ aɖewo eye woɖo «Planète Okapi»na ɖevi siwo le CM yi 5e eye«Planète J'aime Lire»na 5 yi ƒe 8 viwo",https://leschroniquesdetchonte.com/,Blog,31,24
"D’où l’intervention de la Société Générale Côte d’Ivoire, et la Fondation Société Générale",esiae société Générale Nyiɖuƒutatɔ kple kpeɖeŋuha la wɔ,https://leschroniquesdetchonte.com/,Blog,13,8
Aujourd’hui c’est aujourd’hui,egbee nye egbe,https://leschroniquesdetchonte.com/,Blog,3,3
"Pas avec condescendance, mais dans le souci d'avoir une communauté plus forte ensemble au lieu de quelques individus qui se démarquent,",menye kple gã nyenye o gake kple susu sia be yewoɖo hadomegbenɔnɔ aɖe si seŋu menye ameaɖewo si ɖe wokuiwo ɖe aga,https://leschroniquesdetchonte.com/,Blog,21,22
"Ella est mariée et mère de 3 enfants,",eɖe srɔ̃ eye vi etɔ̃ le esi,https://leschroniquesdetchonte.com/,Blog,8,7
"Allons, tu as gagné, Janot, tes cent hectares de terre cultivable, dit le roi en éclatant de rire.","Fia wo nukoko hegblɔ be, Enyo, eɖu dzi. Wo agblenyigbã alafa ɖeka la asu asiwo.",https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,18,15
Le roi lui dit :,Fia ɖo enu nae be:,https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,5,5
"La tension entre ces deux là  se sent à  des kilomètres,","adzre si le wo ame evea dome la, dze le gagla gbe",https://leschroniquesdetchonte.com/,Blog,11,12
" Et il m’en posait aussi, sur comment je me sentais, comment je vivais certaines situations ",eye eya hã bianam ale si melee kple ale si menɔ nanewo metomee,https://aphtalcisse.tg/,Blog,15,13
"Quand ils arrivèrent au bord du feuve, le lion creusa un trou profond ; ils s'y tapirent, bien cachés.","Esi woɖo tɔa to la, dzata ku do gã aɖe eye wobe ɖe eme.",https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,19,14
Pourquoi pas juste une école d’excellence sans association religieuse,nu ka ta manye suku xɔŋkɔ ko si ŋu xɔsenya maku ɖe o la,https://leschroniquesdetchonte.com/,Blog,9,14
" Plus tôt dans la journée, il était aussi au cimetière",eya hã va ameɖiƒea le ŋdɔ me,https://aphtalcisse.tg/,Blog,10,7
"""Et d'à les scenes observées par celui qui me révele la chose, ce monsieur refusait de rendre aux gens les récépissés s'ils ne les faisaient pas plastifier par lui pour la somme de 00 FCFA. ""","le nusiwo miekpɔ nu la ,amesiwo gbe be yewo matsɔ agbalẽawo ana ameawo o",https://ellecitoyenne.com/,"Blog, News",36,14
Elle est restée mais elle n’était plus que l’ombre d’elle même,eli gake megatsɔ ɖeke le eme o,https://leschroniquesdetchonte.com/,Blog,11,7
"Comme quelqu’un l’a souligné dans les commentaires en ligne, l’apartheid était légal en Afrique du Sud",ame aɖe be mama nye se nɔ Afrik du sud,https://leschroniquesdetchonte.com/,Blog,16,10
Hum ! C’était délicieux.,Hum. Evivi ŋutɔ.,https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,4,3
Mon époux et les autres hommes sont partis depuis belle lurette,srɔ̃nye kple ŋutsu bubuawo dzo xoxo,https://leschroniquesdetchonte.com/,Blog,11,6
Que tu m’as volé toutes mes économies pour te saouler,efi nye galeɖiwo katã yi mu aha,https://leschroniquesdetchonte.com/,Blog,10,7
"3- Essayez de faire aussi attention que possible lorsque vous mettez vos affaires dans les bacs pour le contrôle,",eye be miakpɔ nyui ne mietsɔ miaƒe nuwo le dadam ɖe agbã na eƒe kpɔkpɔ,https://leschroniquesdetchonte.com/,Blog,19,15
Elle avait pris un appartement de l’autre côté de la ville et passait de temps en temps à la cour familiale,ehaya xɔ le dua ƒe akpe kem eye woɖia tsa vana aƒeme ɖeka ɖeka,https://leschroniquesdetchonte.com/,Blog,21,14
"""Ainsi, répondre à ce billet permettra de répondre à tous. """,agbalẽ sia ŋuɖoɖo anye ŋuɖoɖo na biabiawo katã,https://ellecitoyenne.com/,"Blog, News",11,8
"Le taux de scolarisation du pays a"" doublé en  ans. ",sukudede gbɔ eme zi eve le dukɔ la me,https://ellecitoyenne.com/,"Blog, News",10,9
Je ne le ferai donc plus.,Nye megale ewɔge gbeɖe o.,https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,6,5
Ils savent se vendre. ,wonya alesi wosaa woee,https://ellecitoyenne.com/,"Blog, News",4,4
"En un an, nous avons organisé 3 sorties éducatives, une dizaine d'ateliers de lecture, de dessin, d'art contemporain, de danse, etc,","le ƒe ɖka me miewɔ mɔzɔzɔ̃ etɔ, wɔ nuxexlẽ, nutata ɖoɖowo kple bubuawo",https://leschroniquesdetchonte.com/,Blog,21,13
Il faut concentrer son esprit sur ce qu’on peut contribuer à la société et communiquer cette cause irrésistible de façon à toucher les coeurs des autres,ɖe nu si nawɔ na xexea fia eye nabe woaka si dzi na amewo ktã,https://leschroniquesdetchonte.com/,Blog,26,15
"Votre voix vous rappelle que vous comptez, car vous le faites et vous méritez d’être entendu »",miaƒe gbe ɖee fia be miele vevie eye woaɖo to mi,https://l-frii.com/,News,17,11
"
L’autre véritable challenge, en tout cas en ce qui me concerne (je le rappelle encore), c’est comment trouver ces réponses, ensemble, avec la mère de l’enfant ",ʋiʋli gãe nye alesi nye kple vinɔa miakpɔ ŋuɖoɖo na biabiawo ɖe due,https://aphtalcisse.tg/,Blog,26,13
C’était une simple formalité avec mon père,esia mesese nam le t;:onye gbɔ o,https://leschroniquesdetchonte.com/,Blog,7,7
La race est un accident génétique et classer les humains par rapport à elle est l'ultime prouesse de l'ingénierie de l'imbécilité. ,kɔta menye naɖe si tso ame aɖeke gbɔ eye aƒonu le nunya le amewo ƒe kɔta si me wotso me nu la nye yakame nuwɔwɔ,https://ellecitoyenne.com/,"Blog, News",21,25
"""Dans la grande majorité des contrées camerounaises, la tendance a bien souvent été à l'enrichissement (illicite) personnel plutôt qu'au service et à l'encadrement du développement collectif. """,nuɖoanyi sioawo meli na dumeviwo takpɔkpɔ o ke boŋ na kplɔlawo lélé ɖe zidzi,https://ellecitoyenne.com/,"Blog, News",27,14
Il y a encore plein de choses que je ne vous ai pas dites mais que j’ai consciencieusement notées dans mon carnet,nu sɔgbɔ li si nyemegblɔ na mi haɖe o gake meŋlɔ wo ɖe nye agbalẽvi me,https://leschroniquesdetchonte.com/,Blog,22,16
Je vous recommande « The defining decade » même si vous n’êtes pas encore dans la vingtaine ou si vous l’avez déjà passée,ne eto ƒè sia ŋu alo meɖui haɖe o hã xlẽ agbalẽ sia,https://leschroniquesdetchonte.com/,Blog,23,13
"""A cet effet, le ministere doit prévoir l'intégration d'un centre de formation continue interne prêt à enseigner les dernieres évolutions pour chaque corps de métier. """,ele be dudɔnunɔla naɖo tutuɖoxɔƒe aɖe anyi si afianu tso dɔ yeye siawo ŋu,https://ellecitoyenne.com/,"Blog, News",26,14
"On sait que le cancer existe, et on connaà®t peut-être au moins une personne qui en a succombé ou qui continue la lutte pour en triompher,",mienya be  cancer li  eye mienya ameaɖe si ku alo le agbagba dzem be yeaɖu dzi,https://leschroniquesdetchonte.com/,Blog,26,16
"– Hum, bien sûr que j’ai ton temps","humm, ɛ̃ meɖo ɣeyiɣi na wo",https://leschroniquesdetchonte.com/,Blog,8,6
Parce qu’elle ne se contente pas de prier pour moi,elabe me ɖeko wodao gbe ɖa ɖe tanye o,https://aphtalcisse.tg/,Blog,10,9
"Mais il y avait toujours ce petit doute, cette idée que je n’étais pas légitime pour devenir médecin, que je n’étais pas assez intelligente",gake ɖikeke nɔ menye le ɖɔkita nyenye ŋu mekpɔe be nyemenya nu de ŋgɔ o,https://leschroniquesdetchonte.com/,Blog,24,15
"A l’époque je ne jurais que par Jean, le Don Juan de l’université",le ɣe ma ɣi la nye dzi katã kuɖe Jean asidzila vivivo ma ma si le sukukɔ́kɔa me la ŋu,https://leschroniquesdetchonte.com/,Blog,13,20
"Les étudiants n'ont pas l'occasion de mettre en pratique toutes les théories apprises et obtiennent leurs diplômes sans réel savoir-faire,",nusrɔ̃lawo meɖoa mɔnukpɔkpɔ tsɔa nusi wosrɔ̃ la de dɔ wɔwɔ me o,https://leschroniquesdetchonte.com/,Blog,20,12
Il n'y a aucune limite tant qu'on a assez d'imagination pour réduire nos déchets. ,"nyenye be miekpɔ susu si míatsɔ wɔ gbeɖuɖɔwo ŋudɔ la,seɖoƒeaɖeke manɔ anyi o",https://ellecitoyenne.com/,"Blog, News",14,13
"Elle semble avoir une préférence pour son fils aîné, Iskender, qu’elle aime appeler « son sultan","Edze abe Iskender, via ŋgɔgbetɔ nu dzoadzi nae wu ene eye woda ŋkɔ ɖe edzi be 'Nye fia'",https://leschroniquesdetchonte.com/,Blog,16,18
"Quand Niaye revint, Samba lui apprit que Ganard voulait la hache.","Esi Niaye trɔva la, Samba ɖɔe nae be Ganare koklotsu la ye hiã fia la.",https://carnet-de-contes.jimdofree.com/contes/contes-africains/,Tales,11,15
"« Nous allons immédiatement faire le nécessaire pour que Donald Trump et la Trump Organization se plient à la décision du juge », a déclaré Letitia James dans un communiqué",latitia James be yewole ɖe sia ɖe woge alebe Trump kple eƒe hatrsotso la nawɔ ɖe ʋɔnudrɔ̃ƒe ƒe nyatsotsoa dzi,https://l-frii.com/,News,30,20
"
Monsieur Siriki LOUGAH, attendait patiemment sur un sofa, dans un des salons privés de l’hôtel, une bouteille de vin devant lui","aƒetɔ Siriki LOUGAH le akpassa bɔbɔea me, wein le kplɔa dzi hele te nɔm kpɔ nyɔnua",https://aphtalcisse.tg/,Blog,21,16
"Ils sont parfois (très souvent) ennuyeux but well we have to do what we have to do€¦Quel livre lisez-vous en ce moment,","wona nu tiakɔ na ame, agbãlɛ ka xlẽm miele le ɣeyiyi sia me",https://leschroniquesdetchonte.com/,Blog,22,13
"Pourtant, c'est important de ne pas s'identifier à  nos échecs,",ke ele vevie be miatsɔ miaƒe gegewo sɔ kple  mia ɖokui o,https://leschroniquesdetchonte.com/,Blog,10,12
"Si je devais mourir ce soir, ça serait la joie au coeur, parce que nos actions ont un impact positif sur la vie des futures générations et donnent la possibilité à des jeunes d’être utiles à leur communauté","ne maku fiɛ̃ sia la, ekem mayi kple dzidzɔ elabe miaƒe wɔnawo tu ɖeviwo ɖo eye woawo hã azu ame le tsɔme",https://leschroniquesdetchonte.com/,Blog,38,22
Quel est l’impact de notre vie ?,nu ka miaƒe agbe nyée?,https://aphtalcisse.tg/,Blog,7,5
"Aujourd'hui sa couleur de peau, ses origines, ne l'empêchent plus de rassembler du monde,","egbe la, kɔla si le ŋu, afi siwo wotso megaxe mɔnɛ be woa ƒoƒu amewo o",https://leschroniquesdetchonte.com/,Blog,14,16
"Sa famille ne comprend pas sa décision,",eƒe ƒomea mese eƒe nyametsotsoa gɔme o,https://leschroniquesdetchonte.com/,Blog,7,7
"Enfin, et surtout, nous avons eu le courage de sortir d’un restaurant dont les prix ne nous convenaient pas, et nous nous sommes régalées d’un plat de indomie et d’un autre de spaghetti à seulement 11 GHS alors que les plats du restaurant tournaient autour de 50 GHS au moins par personne",mielɔ̃ ɖu indomie kple spagheti kple 11 cedis wu alesi ame ɖeka nazã 50GHC aɖunu le nuɖuƒe gã,https://leschroniquesdetchonte.com/,Blog,52,18
Tu me manques,ele dzroyem,https://aphtalcisse.tg/,Blog,3,2
"le manque de réaction des"" citoyens des 8"" autres régions du pays, régions francophones, face à la situation dans les régions anglophones. ""","mɔnu ge,de li si woazã akplɔ ɖevi masetonu ava aƒemee ke hafi woazae la,",https://ellecitoyenne.com/,"Blog, News",23,14
"""On a parlé football, Fonds monétaire international ou FMI, situation sociale du pays, on a été optimiste, pessimiste""€¦ ",edziyiyi ava le miniti aɖewo ko megbe,https://ellecitoyenne.com/,"Blog, News",18,7
" Une fois rentrée, ma mère était quelque part dans la cour, jouant avec mon fils, et…
Pourquoi parles-tu de moi de façon si impersonnelle, coupai-je","esi mege ɖe aƒea me la, nɔnye nɔ vi blem kple vinye.... Nu ka ta nele nu ƒom tso ŋunye abe amebu ene",https://aphtalcisse.tg/,Blog,25,23
"Il faut penser à essayer de matérialiser son projet à petite échelle avec les moyens de bord, pour avoir une expérience plus tangible lorsqu’on essaiera d’avoir des fonds d’investissements",nyuitɔe nye be woana woƒe dɔwɔɖoɖowo na va eme kple ga sue si le wosi henɔ mɔ kpɔm na ga gã xɔxɔ,https://leschroniquesdetchonte.com/,Blog,29,22
Le sort le plus fréquent généralement réservé à ces déchets est le rejet dans ce qui reste de la nature. ,wo dometɔ sue aɖewo koe nya nu le afɔku bubu siwo dexa ɖi nawo to vovo na fufɔfɔ kaba abe dɔxɔleame ŋu to gbɔdɔdɔ me ene,https://ellecitoyenne.com/,"Blog, News",20,26
La porte s’ouvre,ʋɔa ʋu,https://leschroniquesdetchonte.com/,Blog,3,2
"Je suis devenue sa quatrième épouse,",menye eƒe nyɔnu enelia,https://leschroniquesdetchonte.com/,Blog,6,4
Je crains que le retour m’amène à être encore plus boulimique dans ma consommation des réseaux sociaux pour rattraper le temps en dehors,"melevɔvɔm be ne metrɔ gbɔ va la, maganɔ ɣeyiɣi sɔgbɔ gblem wú tsã",https://leschroniquesdetchonte.com/,Blog,23,13
"Bien que nous ayons organisé les choses dans un délai très court, nous avons eu 18 élèves le premier jour et 28 le second","to egbɔ be miewɔ ɖoɖo la le ɣeyiɣi ʋɛ mela, ŋkeke gbãtɔ miexɔ sukuvi 48 eye evelia la 28",https://leschroniquesdetchonte.com/,Blog,24,19
“Elle était l’élégance et la liberté,enye nyonyo kple vovo ɖeɖefia,https://l-frii.com/,News,6,5
" Ils auraient pu se mettre à leur tour à produire de la tomate concentrée, et s’attendre à ce qu’on boycotte toutes les autres marques pour la leur, juste parce qu’ils sont togolais",woate ŋu adze ganumetimati wɔwɔ ne amewo na gbe xoxoawo zazã elabe togovi wonye,https://aphtalcisse.tg/,Blog,32,14
Cela peut nous aider à remarquer lorsque notre prononciation est différente de celle du récitateur,esia ana be miade dzesii be miatɔ gbɔgblɔ to vo na egblɔla tɔ,https://leschroniquesdetchonte.com/,Blog,15,13
Je fais ce que je fais en espérant des mérites auprès d’Allah et en voulant être utile mais je ne me disais pas particulièrement que je voulais représenter la femme musulmane,mele nuawo wɔm hele mɔkpɔm be allah nayram ke menye be manye mɔslɛmnyɔwo teƒenɔla o,https://leschroniquesdetchonte.com/,Blog,31,15
"""Comment implémenter efficacement un programme alors qu'il est impossible de trouver les documents"" ? Enfin, notons que même la formation des enseignants du programme aurait due être revue : il imposait l'approche par les compétences (APC), une approche pédagogique qui n'était à cette époque pas enseignée dans les écoles normales supérieures (du moins pas dans toutes). """,alo Mingo si medi be woatsɔ yé asɔkple sisi lawo elebena yé meganye ameƒeƒle o,https://ellecitoyenne.com/,"Blog, News",57,15
"J'ai tant de choses à  te dire,",nya geɖewo li magblɔ na wo,https://leschroniquesdetchonte.com/,Blog,7,6
"Et dans les interviews, faites en sorte qu'on demande aux pères comment ils équilibrent leur vie de famille et le travail,","eye le numekuwome la, mina woabia dzilawo alesi wo woa woƒe ƒome gbenɔnɔ kple dɔwɔwɔ ŋudoe",https://leschroniquesdetchonte.com/,Blog,21,16
"En essayant de sauver des vies, ils ont perdu la leur,",le ame bubu ƒe doyɔyɔ me la wobu woƒe agbe,https://leschroniquesdetchonte.com/,Blog,11,10
L'Afrique est marketée pour être le repoussoir du monde occidental. ,wode dzesi Afrika ŋu be woanɔ alesi yevuwo dzi ene,https://ellecitoyenne.com/,"Blog, News",10,10
"
Ce que tu m’autorises à savoir d’elle, chéri, reprit-elle","nu si nedi be manya ku ɖe eŋu ko, lɔlɔ̃a",https://aphtalcisse.tg/,Blog,9,10
"Je savais que ce moment finirait par arriver,",menya be ɣeyiyi sia ava ɖo,https://leschroniquesdetchonte.com/,Blog,8,6
